Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Eric Nyberg,Carnegie Mellon University,,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Eric Poe Xing,Carnegie Mellon University,2004,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Frank Pfenning,Carnegie Mellon University,1986,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Garth Gibson,Carnegie Mellon University,1991,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Gary Miller,Carnegie Mellon University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ge Yang,Carnegie Mellon University,2008,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Greg Ganger,Carnegie Mellon University,,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Gustavo Rohde,Carnegie Mellon University,2007,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Guy Blelloch,Carnegie Mellon University,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Howie Choset,Carnegie Mellon University,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Hui Zhang,Carnegie Mellon University,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
J. Andrew (Drew) Bagnell,Carnegie Mellon University,2000,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
J. Zico Kolter,Carnegie Mellon University,2012,Assistant,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Jacobo Carrasquel,Carnegie Mellon University,1980,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Jaime Carbonell,Carnegie Mellon University,1995,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
James C. Hoe,Carnegie Mellon University,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
James Herbsleb,Carnegie Mellon University,1994,Full,Software Engineering,,,,,,,,,,,,,,,,,,
James Morris,Carnegie Mellon University,1982,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Jamie Callan,Carnegie Mellon University,1999,Full,Information Retrieval,,,,,,,,,,,,,,,,,,
Jason Hong,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Javier Lopez,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Jeannette M. Wing,Carnegie Mellon University,1985,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Jeffrey Bigham,Carnegie Mellon University,2013,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Jeffrey Eppinger,Carnegie Mellon University,2001,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Jennifer Mankoff,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Jessica Hammer,Carnegie Mellon University,2014,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Jessica Hodgins,Carnegie Mellon University,2000,Full,Graphics,,,,,,,,,,,,,,,,,,
Jodi Forlizzi,Carnegie Mellon University,2000,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
John Anderson,Carnegie Mellon University,1978,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
John Zimmerman,Carnegie Mellon University,2002,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Jonathan Aldrich,Carnegie Mellon University,2003,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
