Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Zhaojun Bai,University of California - Davis,1988,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Zhendong Su,University of California - Davis,2002,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Aditi Majumder,University of California - Irvine,,Associate,Graphics,,,,,,,,,,,,,,,,,,
Alexander Ihler,University of California - Irvine,2007,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Alexander Nicolau,University of California - Irvine,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Alexander Veidenbaum,University of California - Irvine,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Alfred Kobsa,University of California - Irvine,,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Amelia C. Regan,University of California - Irvine,1997,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Andre van der Hoek,University of California - Irvine,2000,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Babak Shahbaba,University of California - Irvine,,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Bill Tomlinson,University of California - Irvine,2003,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Bonnie Nardi,University of California - Irvine,,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Charless Fowlkes,University of California - Irvine,2007,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Chen Li,University of California - Irvine,2012,Full,Databases,,,,,,,,,,,,,,,,,,
Cristina V. Lopes,University of California - Irvine,2002,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Dan Frost,University of California - Irvine,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Daniel Gillen,University of California - Irvine,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Daniel S. Hirschberg,University of California - Irvine,1981,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
David Eppstein,University of California - Irvine,1990,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
David Redmiles,University of California - Irvine,1994,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Deva Ramanan,University of California - Irvine,,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Donald J. Patterson,University of California - Irvine,2005,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Elaheh (Eli) Bozorgzadeh,University of California - Irvine,2009,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Eric Mjolsness,University of California - Irvine,2002,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Gary M. Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Gene Tsudik,University of California - Irvine,,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Gillian R Hayes,University of California - Irvine,2007,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Gloria Mark,University of California - Irvine,2000,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Gopi Meenakshisundaram,University of California - Irvine,,Full,Graphics,,,,,,,,,,,,,,,,,,
Hal Stern,University of California - Irvine,2002,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Harry Xu,University of California - Irvine,2011,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Hernando Ombao,University of California - Irvine,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Ian G. Harris,University of California - Irvine,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Issac D. Scherson,University of California - Irvine,1990,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
James A. Jones,University of California - Irvine,2008,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Jessuca Utts,University of California - Irvine,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Judy Olson,University of California - Irvine,2008,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Lubomir Bic,University of California - Irvine,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Magda El Zarki,University of California - Irvine,1999,Full,Multimedia,,,,,,,,,,,,,,,,,,
Marco Levorato,University of California - Irvine,2013,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Max Welling,University of California - Irvine,2003,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Michael Dillencourt,University of California - Irvine,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Michael Franz,University of California - Irvine,1996,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Michael J. Carey,University of California - Irvine,2008,Full,Databases,,,,,,,,,,,,,,,,,,
Michael T. Goodrich,University of California - Irvine,2001,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Nalini Venkatasubramanian,University of California - Irvine,1998,Full,Multimedia,,,,,,,,,,,,,,,,,,
Nikil Dutt,University of California - Irvine,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Padhraic Smyth,University of California - Irvine,1996,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Paul Dourish,University of California - Irvine,2000,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Pierre Baldi,University of California - Irvine,1999,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Richard Lathrop,University of California - Irvine,1995,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Rina Dechter,University of California - Irvine,1990,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Sandy Irani,University of California - Irvine,1997,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Scott Jordan,University of California - Irvine,1999,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Sharad Mehrotra,University of California - Irvine,,Full,Databases,,,,,,,,,,,,,,,,,,
Stanislaw Jarecki,University of California - Irvine,2003,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Tony Givargis,University of California - Irvine,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Wayne Hayes,University of California - Irvine,2010,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Wesley O. Johnson,University of California - Irvine,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Xiaohui Xie,University of California - Irvine,,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yaming Yu,University of California - Irvine,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Yunan Chen,University of California - Irvine,2008,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Zhaixia Yu,University of California - Irvine,2007,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Adnan Darwiche,University of California - Los Angeles,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Alan Yuille,University of California - Los Angeles,2007,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Alexander Sherstov,University of California - Los Angeles,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Alfonso F. Cardenas,University of California - Los Angeles,1971,Full,Databases,,,,,,,,,,,,,,,,,,
Amit Sahai,University of California - Los Angeles,2004,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ani Nahapetian,University of California - Los Angeles,,Adjunct,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Carlo Zaniolo,University of California - Los Angeles,1991,Full,Data Mining,,,,,,,,,,,,,,,,,,
Christopher Lee,University of California - Los Angeles,1998,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
D. Stott Parker,University of California - Los Angeles,1979,Full,Data Mining,,,,,,,,,,,,,,,,,,
David Heckerman,University of California - Los Angeles,1979,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Demetri Terzopoulos,University of California - Los Angeles,2005,Full,Graphics,,,,,,,,,,,,,,,,,,
Eleazar Eskin,University of California - Los Angeles,2006,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Eliezer Gafni,University of California - Los Angeles,1982,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Glenn Reinman,University of California - Los Angeles,2001,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Jason (Jingsheng) Cong,University of California - Los Angeles,1990,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Jason Ernst,University of California - Los Angeles,2012,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jens Palsberg,University of California - Los Angeles,2004,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Joseph Distefano III,University of California - Los Angeles,1966,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Judea Pearl,University of California - Los Angeles,1970,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Junghoo (John) Cho,University of California - Los Angeles,,Associate,World Wide Web,,,,,,,,,,,,,,,,,,
Lixia Zhang,University of California - Los Angeles,1995,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Majid Sarrafzadeh,University of California - Los Angeles,2000,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Mani Srivastava,University of California - Los Angeles,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Mario Gerla,University of California - Los Angeles,1976,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Michael G. Dyer,University of California - Los Angeles,1983,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Milos D. Ercegovac,University of California - Los Angeles,1984,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Miodrag Potkonjak,University of California - Los Angeles,1995,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Rafail Ostrovsky,University of California - Los Angeles,2003,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Richard Korf,University of California - Los Angeles,1985,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Richard R. Muntz,University of California - Los Angeles,,Full,Databases,,,,,,,,,,,,,,,,,,
Rupak Majumdar,University of California - Los Angeles,2004,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Sheila Greibach,University of California - Los Angeles,1969,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Song Chun Zhu,University of California - Los Angeles,2002,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Songwu Lu,University of California - Los Angeles,2000,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Stanley Osher,University of California - Los Angeles,1977,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Stefano Soatto,University of California - Los Angeles,2000,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Todd Millstein,University of California - Los Angeles,2004,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Tyson Condie,University of California - Los Angeles,2012,Assistant,Databases,,,,,,,,,,,,,,,,,,
Wei Wang,University of California - Los Angeles,2012,Full,Data Mining,,,,,,,,,,,,,,,,,,
Yuval Tamir,University of California - Los Angeles,1985,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Alex C. Snoeren,University of California - San Diego,2003,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Alex Orailoglu,University of California - San Diego,1987,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Alexander Vardy,University of California - San Diego,1998,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Alin Deutsch,University of California - San Diego,,Full,Databases,,,,,,,,,,,,,,,,,,
Alon Orlitsky,University of California - San Diego,1997,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Amin Vahdat,University of California - San Diego,2003,Adjunct,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Andrew Kahng,University of California - San Diego,2011,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Bill Lin,University of California - San Diego,1997,Adjunct,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Bradley Calder,University of California - San Diego,1997,Adjunct,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Charles Elkan,University of California - San Diego,1990,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Daniel Kane,University of California - San Diego,2014,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Daniele Micciancio,University of California - San Diego,1999,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
David Kriegman,University of California - San Diego,2002,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Dean Tullsen,University of California - San Diego,1996,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Falko Kuester,University of California - San Diego,2001,Affiliate,Graphics,,,,,,,,,,,,,,,,,,
Fan Graham,University of California - San Diego,1998,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Garrison Cottrell,University of California - San Diego,1987,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Geoffrey Voelker,University of California - San Diego,2000,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Henrik Jensen,University of California - San Diego,2002,Full,Graphics,,,,,,,,,,,,,,,,,,
Hovav Shacham,University of California - San Diego,2007,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Ingolf Krueger,University of California - San Diego,2001,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Jeanne Ferrante,University of California - San Diego,1994,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Jeffrey Remmel,University of California - San Diego,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Joseph Pasquale,University of California - San Diego,1987,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Kamalika Chaudhuri,University of California - San Diego,2010,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Keith Marzullo,University of California - San Diego,1993,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Larry Smarr,University of California - San Diego,2000,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Lawrence Saul,University of California - San Diego,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Michael Taylor,University of California - San Diego,2006,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Mihir Bellare,University of California - San Diego,1995,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Pavel Pevzner,University of California - San Diego,2000,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Pradeep Khosla,University of California - San Diego,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Rajesh Gupta,University of California - San Diego,2002,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Ramamohan Paturi,University of California - San Diego,1986,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Ranjit Jhala,University of California - San Diego,,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Ravi Ramamoorthi,University of California - San Diego,2009,Associate,Graphics,,,,,,,,,,,,,,,,,,
Ronald Graham,University of California - San Diego,1999,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Russell Impagliazzo,University of California - San Diego,1989,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ryan Kastner,University of California - San Diego,2007,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Sadik Esener,University of California - San Diego,1987,Affiliate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Samuel Buss,University of California - San Diego,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sanjoy Dasgupta,University of California - San Diego,2002,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Scott Baden,University of California - San Diego,1990,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Scott Klemmer,University of California - San Diego,2013,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Serge Belongie,University of California - San Diego,2000,Adjunct,Computer Vision,,,,,,,,,,,,,,,,,,
Shachar Lovett,University of California - San Diego,2012,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sorin Lerner,University of California - San Diego,2006,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Stefan Savage,University of California - San Diego,,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Steven Swanson,University of California - San Diego,,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Tajana Rosing,University of California - San Diego,2005,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Trey Ideker,University of California - San Diego,,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Victor Vianu,University of California - San Diego,1983,Full,Databases,,,,,,,,,,,,,,,,,,
Vineet Bafna,University of California - San Diego,2003,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
William Griswold,University of California - San Diego,1991,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Yannis Papakonstantinou,University of California - San Diego,1996,Full,Databases,,,,,,,,,,,,,,,,,,
Yoav Freund,University of California - San Diego,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Yuanyuan Zhou,University of California - San Diego,2009,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Zhuowen Tu,University of California - San Diego,2013,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Ambuj K. Singh,University of California - Santa Barbara,2000,Full,Data Mining,,,,,,,,,,,,,,,,,,
Amr El Abbadi,University of California - Santa Barbara,,Full,Databases,,,,,,,,,,,,,,,,,,
Ben Hardekopf,University of California - Santa Barbara,2009,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Ben Y. Zhao,University of California - Santa Barbara,2004,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Chandra Krintz,University of California - Santa Barbara,2001,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Christopher Kruegel,University of California - Santa Barbara,2008,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Divyakant Agrawal,University of California - Santa Barbara,,Full,Databases,,,,,,,,,,,,,,,,,,
Elizabeth Belding,University of California - Santa Barbara,2009,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Fred Chong,University of California - Santa Barbara,,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Giovanni Vigna,University of California - Santa Barbara,2009,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Heather Zheng,University of California - Santa Barbara,2005,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Huijia (Rachel) Lin,University of California - Santa Barbara,2013,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Jianwen Su,University of California - Santa Barbara,1990,Full,Databases,,,,,,,,,,,,,,,,,,
John Gilbert,University of California - Santa Barbara,2002,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Kevin Almeroth,University of California - Santa Barbara,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Linda Petzold,University of California - Santa Barbara,2003,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Matthew Turk,University of California - Santa Barbara,2000,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Omer Egecioglu,University of California - Santa Barbara,1985,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Peter Cappello,University of California - Santa Barbara,,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Richard A. Kemmerer,University of California - Santa Barbara,1979,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Richard Wolski,University of California - Santa Barbara,2001,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Stefano Tessaro,University of California - Santa Barbara,2013,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Subhash Suri,University of California - Santa Barbara,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Tao Yang,University of California - Santa Barbara,1993,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Teofilo Gonzalez,University of California - Santa Barbara,2011,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Tevfik Bultan,University of California - Santa Barbara,2009,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Theodore Kim,University of California - Santa Barbara,2011,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Tim Sherwood,University of California - Santa Barbara,2003,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Tobias Hollerer,University of California - Santa Barbara,2002,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Wim van Dam,University of California - Santa Barbara,2004,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Xifeng Yan,University of California - Santa Barbara,,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Yuan-Fang Wang,University of California - Santa Barbara,1987,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Alexander Razborov,University of Chicago,2008,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Andrew Chien,University of Chicago,2012,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Anne Rogers,University of Chicago,2007,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Gordon Kindlmann,University of Chicago,2004,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Gregory Shakhnarovich,University of Chicago,2008,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Haryadi Gunawi,University of Chicago,2012,Assistant,Operating Systems,,,,,,,,,,,,,,,,,,
Henry Hoffmann,University of Chicago,2013,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Ian Foster,University of Chicago,2006,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Janos Simon,University of Chicago,2007,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jinbo Xu,University of Chicago,2012,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
John Goldsmith,University of Chicago,1984,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
John Lafferty,University of Chicago,2011,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
John Reppy,University of Chicago,2002,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Julia Chuzhoy,University of Chicago,2007,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Karen Livescu,University of Chicago,2005,Assistant,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Ketan Mulmuley,University of Chicago,2012,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
L. Ridgway Scott,University of Chicago,1998,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Laszlo Babai,University of Chicago,1987,Full,Computer Education,,,,,,,,,,,,,,,,,,
Madhur Tulsiani,University of Chicago,2013,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Michael O'Donnell,University of Chicago,1985,Full,Computer Education,,,,,,,,,,,,,,,,,,
Nathan Srebro,University of Chicago,2013,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Raquel Urtasun,University of Chicago,2014,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Rick Stevens,University of Chicago,1982,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Risi Kondor,University of Chicago,2011,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Robert Soare,University of Chicago,1975,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Stuart Kurtz,University of Chicago,1983,Full,Computer Education,,,,,,,,,,,,,,,,,,
Todd Dupont,University of Chicago,1975,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Yali Amit,University of Chicago,2000,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Yury Makarychev,University of Chicago,2007,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Aaron Clauset,University of Colorado Boulder,2010,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Andrzej Ehrenfeucht,University of Colorado Boulder,2006,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Ann Eisenberg,University of Colorado Boulder,,Adjunct,Scientific Computing,,,,,,,,,,,,,,,,,,
Bor-Yuh Evan Chang,University of Colorado Boulder,2009,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Clayton Lewis,University of Colorado Boulder,1984,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Debra Goldberg,University of Colorado Boulder,2005,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Dirk Grunwald,University of Colorado Boulder,1989,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Douglas Sicker,University of Colorado Boulder,1990,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Elizabeth Bradley,University of Colorado Boulder,1992,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Elizabeth Jessup,University of Colorado Boulder,2006,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Gerhard Fischer,University of Colorado Boulder,1984,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Henry Tufo,University of Colorado Boulder,2002,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
James Martin,University of Colorado Boulder,1989,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
John Bennett,University of Colorado Boulder,2004,Full,Computer Education,,,,,,,,,,,,,,,,,,
John Black,University of Colorado Boulder,2002,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Kenneth Anderson,University of Colorado Boulder,1998,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Lawrence Hunter,University of Colorado Boulder,2000,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Leysia Palen,University of Colorado Boulder,1998,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Martha Palmer,University of Colorado Boulder,2005,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Michael Eisenberg,University of Colorado Boulder,1992,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Michael Mozer,University of Colorado Boulder,1988,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Nikolaus Correll,University of Colorado Boulder,2009,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Pavol Cerny,University of Colorado Boulder,2013,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Qin Lv,University of Colorado Boulder,2010,Assistant,Data Mining,,,,,,,,,,,,,,,,,,
Richard Han,University of Colorado Boulder,2001,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Roger King,University of Colorado Boulder,,Full,Graphics,,,,,,,,,,,,,,,,,,
Shaun Kane,University of Colorado Boulder,2014,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Shivakant Mishra,University of Colorado Boulder,2013,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Sriram Sankaranarayanan,University of Colorado Boulder,2009,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Tamara Sumner,University of Colorado Boulder,1999,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Timothy Brown,University of Colorado Boulder,2003,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Tom Yeh,University of Colorado Boulder,2012,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Xiao-Chuan Cai,University of Colorado Boulder,1993,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Jordan Boyd-Graber,University of Colorado Boulder,2014,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Ahmed Helmy,University of Florida,2006,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Alin Dobra,University of Florida,2003,Associate,Databases,,,,,,,,,,,,,,,,,,
Alireza Entezari,University of Florida,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Alper Ungor,University of Florida,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Anand Rangarajan,University of Florida,2000,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Arunava Banerjee,University of Florida,2003,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Baba C. Vemuri,University of Florida,1987,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Benjamin C. Lok,University of Florida,2003,Associate,Graphics,,,,,,,,,,,,,,,,,,
Beverly Sanders,University of Florida,,Associate,Software Engineering,,,,,,,,,,,,,,,,,,
Christina M. Gardner-McCune,University of Florida,2014,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
